ts	commit	suite_cost	worst_cost	per_seed	note
2026-04-26T14:58:25	d99db51	25.3120	26.0960	race_skip_gate_0=24.26(laps=49.4,12.2,12.0;crash=0;to=0;gates=1);orthogonal_gate_1=26.10(laps=46.8,12.6,13.5;crash=0;to=0;gates=1);skip_gate_3=25.58(laps=47.0,13.1,12.4;crash=0;to=0;gates=1)	baseline (no changes)
2026-04-26T15:02:39	d99db51	inf	inf	race_skip_gate_0=25.44(laps=49.3,12.4,13.0;crash=0;to=0;gates=1);orthogonal_gate_1=26.81(laps=47.0,12.7,14.1;crash=0;to=0;gates=1);skip_gate_3=inf(laps=-;crash=0;to=0;gates=0)	v_final=1.5 m/s along last segment (no decel-to-stop)
2026-04-26T15:17:29	d99db51	62.4427	65.3680	race_skip_gate_0=59.58(laps=52.0,27.9,31.7;crash=0;to=0;gates=1);orthogonal_gate_1=65.37(laps=49.4,29.0,36.4;crash=0;to=0;gates=1);skip_gate_3=62.38(laps=50.4,29.9,32.4;crash=0;to=0;gates=1)	add overshoot waypoint 0.5m past gate0 (no decel-at-finish)
2026-04-26T15:19:21	d99db51	inf	inf	race_skip_gate_0=inf(laps=49.7,9.8,9.9;crash=0;to=0;gates=0)	VEL_LIM_XY 2.0 -> 2.5 (probe: does L_vel_xy=2.0 saturate?)
2026-04-26T15:22:01	d99db51	25.4827	26.1760	race_skip_gate_0=24.64(laps=49.4,12.5,12.2;crash=0;to=0;gates=1);orthogonal_gate_1=26.18(laps=48.2,12.7,13.5;crash=0;to=0;gates=1);skip_gate_3=25.63(laps=46.0,13.2,12.4;crash=0;to=0;gates=1)	L_vel_xy 2.0 -> 2.5 (let chase term catch up faster)
2026-04-26T15:24:02	d99db51	inf	inf	race_skip_gate_0=inf(laps=49.8,11.2,11.2;crash=0;to=0;gates=0)	VEL_LIM_XY 2.0 -> 2.2 (small bump, less shortcut risk)
2026-04-26T15:26:07	d99db51	23.1200	23.8000	race_skip_gate_0=22.46(laps=49.7,11.3,11.1;crash=0;to=0;gates=1);orthogonal_gate_1=23.80(laps=47.5,11.5,12.3;crash=0;to=0;gates=1);skip_gate_3=23.10(laps=46.0,11.9,11.2;crash=0;to=0;gates=1)	raise XY peak speed 2.0 -> 2.2 (VEL_LIM_XY + L_vel_xy together)
2026-04-26T15:36:05	8f0b1eb	21.4240	22.3760	race_skip_gate_0=20.28(laps=47.7,10.2,10.1;crash=0;to=0;gates=1);orthogonal_gate_1=21.62(laps=48.2,10.5,11.1;crash=0;to=0;gates=1);skip_gate_3=22.38(laps=45.9,11.5,10.9;crash=0;to=0;gates=1)	raise XY peak speed 2.2 -> 2.4 (VEL_LIM_XY + L_vel_xy together)
2026-04-26T15:37:33	c197d7d	20.5120	22.4800	race_skip_gate_0=18.95(laps=47.8,9.5,9.4;crash=0;to=0;gates=1);orthogonal_gate_1=20.10(laps=46.4,9.7,10.4;crash=0;to=0;gates=1);skip_gate_3=22.48(laps=45.7,11.6,10.9;crash=0;to=0;gates=1)	raise XY peak speed 2.4 -> 2.6 (VEL_LIM_XY + L_vel_xy together)
2026-04-26T15:39:48	7fa2097	19.7040	22.3120	race_skip_gate_0=18.04(laps=47.7,9.1,8.9;crash=0;to=0;gates=1);orthogonal_gate_1=18.76(laps=46.6,9.1,9.7;crash=0;to=0;gates=1);skip_gate_3=22.31(laps=45.4,11.5,10.8;crash=0;to=0;gates=1)	raise XY peak speed 2.6 -> 2.8 (VEL_LIM_XY + L_vel_xy together)
2026-04-26T15:42:08	62bb11f	19.5973	22.3280	race_skip_gate_0=17.82(laps=47.9,9.0,8.8;crash=0;to=0;gates=1);orthogonal_gate_1=18.65(laps=47.0,9.0,9.6;crash=0;to=0;gates=1);skip_gate_3=22.33(laps=45.8,11.5,10.8;crash=0;to=0;gates=1)	raise XY peak speed 2.8 -> 3.0 (VEL_LIM_XY + L_vel_xy together)
2026-04-26T15:44:41	f0441c7	19.6453	22.3120	race_skip_gate_0=17.96(laps=48.0,9.1,8.9;crash=0;to=0;gates=1);orthogonal_gate_1=18.66(laps=46.4,9.0,9.6;crash=0;to=0;gates=1);skip_gate_3=22.31(laps=45.7,11.5,10.8;crash=0;to=0;gates=1)	raise XY peak speed 3.0 -> 3.3 (VEL_LIM_XY + L_vel_xy together)
2026-04-26T15:46:05	f0441c7	inf	inf	race_skip_gate_0=17.90(laps=48.1,9.0,8.9;crash=0;to=0;gates=1);orthogonal_gate_1=inf(laps=46.7,9.0,9.6;crash=0;to=0;gates=0)	ACC_LIM_XY 6 -> 8 (trajectory only, probe if ACC is binding for skip_gate_3)
2026-04-26T15:47:32	f0441c7	19.5680	22.3200	race_skip_gate_0=17.83(laps=46.2,9.0,8.8;crash=0;to=0;gates=1);orthogonal_gate_1=18.55(laps=45.8,9.0,9.6;crash=0;to=0;gates=1);skip_gate_3=22.32(laps=44.6,11.5,10.8;crash=0;to=0;gates=1)	raise attitude saturation pi/6 -> pi/4 (L_acc_rp + matching hard clip)
2026-04-26T15:48:38	d6150e6	19.5973	22.3120	race_skip_gate_0=17.81(laps=47.1,9.0,8.8;crash=0;to=0;gates=1);orthogonal_gate_1=18.67(laps=46.5,9.0,9.6;crash=0;to=0;gates=1);skip_gate_3=22.31(laps=45.2,11.5,10.8;crash=0;to=0;gates=1)	ACC_LIM_XY 6 -> 8 (retry, now with pi/4 attitude headroom)
2026-04-26T16:04:40	a071e57	19.6240	22.2640	race_skip_gate_0=17.94(laps=47.0,9.1,8.9;crash=0;to=0;gates=1);orthogonal_gate_1=18.66(laps=46.8,9.0,9.6;crash=0;to=0;gates=1);skip_gate_3=22.26(laps=44.4,11.5,10.8;crash=0;to=0;gates=1)	yaw lookahead 0.0 -> 0.2s (target heading where trajectory will be in 0.2s, addresses observed yaw lag)
2026-04-26T16:05:56	a071e57	19.6613	22.3360	race_skip_gate_0=17.96(laps=43.9,9.1,8.9;crash=0;to=0;gates=1);orthogonal_gate_1=18.69(laps=53.7,9.0,9.6;crash=0;to=0;gates=1);skip_gate_3=22.34(laps=42.7,11.5,10.8;crash=0;to=0;gates=1)	P_att_y 4 -> 9 (resurrect auto-tuned yaw P gain to address observed yaw lag at high speed)
2026-04-26T16:07:09	a071e57	inf	inf	race_skip_gate_0=inf(laps=47.4,9.0,8.9;crash=0;to=0;gates=0)	P_vel_xy 0.5 -> 0.75 (probe vel chase gain — auto-tune found 0.5 infeasible for step response, may matter more at 3m/s peak)
2026-04-26T16:12:30	a071e57	inf	inf	race_skip_gate_0=17.85(laps=46.5,9.0,8.8;crash=0;to=0;gates=1);orthogonal_gate_1=inf(laps=46.6,9.1,9.6;crash=0;to=0;gates=0)	extend final waypoint 0.5m past gate 0 (exit direction) so trajectory decelerates after lap-3 timer stops, not through gate
