ts	kind	commit	loop	gains_changed	cost	rise_high	rise_low	overshoot_high	overshoot_low	ss_high	ss_low	lap_times	crashed	gates_ok	note
2026-04-26T13:36:59	tune	bf47d3a	rate_rp		0.2485	0.208	0.240	2.05	0.00	-0.02	-0.14				baseline P=1.5 D=0.1
2026-04-26T13:37:19	tune	bf47d3a	rate_rp	P_rate_rp=2.25	0.3614	0.168	0.152	3.30	13.62	1.28	0.01				rate_rp: P x1.5 (1.5 -> 2.25), D held
2026-04-26T13:37:52	tune	bf47d3a	rate_rp	P_rate_rp=1.8	0.2756	0.192	0.200	0.00	4.01	-0.51	-1.07				rate_rp: P x1.2 (1.5 -> 1.8), D held
2026-04-26T13:38:10	tune	bf47d3a	rate_rp	P_rate_rp=1.8,D_rate_rp=0.13	0.3149	0.240	0.232	2.02	0.00	1.17	1.18				rate_rp: P 1.5->1.8, D 0.1->0.13
2026-04-26T13:38:23	tune	bf47d3a	rate_rp	D_rate_rp=0.07	0.3861	0.144	0.152	8.01	13.05	1.05	0.05				rate_rp: P held, D 0.1->0.07
2026-04-26T13:38:47	tune	bf47d3a	rate_rp	P_rate_rp=1.6	0.2991	0.200	0.232	3.70	1.13	0.57	-0.82				rate_rp: P x1.07 (1.5 -> 1.6), D held
2026-04-26T13:39:09	tune	bf47d3a	rate_rp	P_rate_rp=1.55	0.2792	0.216	0.232	0.00	1.00	-1.10	-0.71				rate_rp: P x1.033 (1.5 -> 1.55), smaller step
2026-04-26T13:39:22	tune	bf47d3a	rate_rp	D_rate_rp=0.09	0.5438	0.184	0.184	8.56	4.00	6.14	3.23				rate_rp: D 0.1 -> 0.09 (small step)
2026-04-26T13:39:40	tune	bf47d3a	rate_y		0.5511	0.184	0.184	6.61	14.45	-1.19	-5.07				rate_y baseline P=0.02 D=0.001
2026-04-26T13:39:57	tune	bf47d3a	rate_y	D_rate_y=0.0015	0.4915	0.320	0.280	6.73	6.37	-0.70	-1.72				rate_y: D x1.5 (0.001 -> 0.0015), P held
2026-04-26T13:40:27	tune	4100ae9	rate_y	P_rate_y=0.025	0.2779	0.192	0.200	2.21	3.23	0.40	0.70				rate_y: P x1.25 (0.02 -> 0.025), D 0.0015
2026-04-26T13:40:42	tune	abc0fd5	rate_y	P_rate_y=0.03	0.4472	0.184	0.192	10.67	13.28	-0.55	0.24				rate_y: P x1.2 (0.025 -> 0.030)
2026-04-26T13:40:52	tune	abc0fd5	rate_y	P_rate_y=0.027	0.2807	0.216	0.192	3.86	2.46	-0.53	0.01				rate_y: P x1.08 (0.025 -> 0.027)
2026-04-26T13:41:02	tune	abc0fd5	rate_y	D_rate_y=0.002	0.5217	0.280	0.264	5.73	11.74	-2.48	0.52				rate_y: D x1.33 (0.0015 -> 0.002)
2026-04-26T13:41:12	tune	abc0fd5	rate_y	D_rate_y=0.0017	0.3396	0.232	0.280	1.53	4.40	-0.34	-0.63				rate_y: D x1.13 (0.0015 -> 0.0017)
2026-04-26T13:41:25	tune	abc0fd5	rate_y	D_rate_y=0.0013	0.5516	0.176	0.176	15.98	18.66	-0.17	-1.00				rate_y: D x0.87 (0.0015 -> 0.0013)
2026-04-26T13:41:36	tune	abc0fd5	rate_y	P_rate_y=0.026	0.3376	0.208	0.200	1.18	3.93	-0.45	-2.85				rate_y: P x1.04 (0.025 -> 0.026), small step
2026-04-26T13:41:49	tune	abc0fd5	rate_rp		0.3373	0.208	0.256	4.33	0.00	1.28	1.20				rate_rp sanity check after rate_y freeze
2026-04-26T13:42:06	tune	abc0fd5	rate_rp		0.3373	0.208	0.256	4.33	0.00	1.28	1.20				rate_rp re-check, post rate_y freeze, run #2
2026-04-26T13:42:28	tune	abc0fd5	att_rp		0.7052	0.624	0.632	1.92	2.37	0.92	-0.45				att_rp baseline P=10.0 D=0.2
2026-04-26T13:42:39	tune	abc0fd5	att_rp	P_att_rp=15.0	0.7179	0.608	0.608	4.36	4.48	-0.14	0.72				att_rp: P x1.5 (10.0 -> 15.0)
2026-04-26T13:42:55	tune	abc0fd5	att_rp	D_att_rp=0.3	0.6908	0.656	0.656	1.36	1.20	0.32	-0.05				att_rp: P held, D x1.5 (0.2 -> 0.3)
2026-04-26T13:43:15	tune	d3c0fa7	att_rp	P_att_rp=12.0	0.6897	0.624	0.632	1.87	2.12	0.57	-0.30				att_rp: P x1.2 (10 -> 12), D=0.3
2026-04-26T13:43:34	tune	2e8209b	att_rp	P_att_rp=14.0	0.6899	0.616	0.616	2.84	3.05	0.49	-0.11				att_rp: P x1.17 (12 -> 14)
2026-04-26T13:43:44	tune	2e8209b	att_rp	D_att_rp=0.35	0.6950	0.624	0.640	1.72	1.83	0.54	-0.56				att_rp: D x1.17 (0.3 -> 0.35)
2026-04-26T13:43:52	tune	2e8209b	att_rp	D_att_rp=0.27	0.6934	0.624	0.624	2.20	2.54	0.46	-0.42				att_rp: D x0.9 (0.3 -> 0.27)
2026-04-26T13:44:01	tune	2e8209b	att_rp	P_att_rp=13.0	0.6994	0.624	0.632	2.30	2.29	0.70	-0.32				att_rp: P x1.08 (12 -> 13)
2026-04-26T13:44:10	tune	2e8209b	att_rp	P_att_rp=11.0	0.7003	0.632	0.640	1.88	1.67	0.60	-0.55				att_rp: P x0.92 (12 -> 11)
2026-04-26T13:44:23	tune	2e8209b	rate_y		0.3295	0.216	0.200	4.02	1.38	-1.97	-0.73				rate_y sanity check after att_rp freeze
2026-04-26T13:44:35	tune	2e8209b	att_y		1.6088	0.448	0.464	56.38	56.75	0.64	-0.22				att_y baseline P=4.0 D=0.3
2026-04-26T13:44:49	tune	2e8209b	att_y	D_att_y=0.6	1.6517	0.432	0.448	57.00	56.42	2.11	-0.99				att_y: D x2.0 (0.3 -> 0.6)
2026-04-26T13:45:19	tune	2e8209b	att_y	P_att_y=2.0	1.8470	0.488	0.488	56.96	56.79	4.41	-4.45				att_y: P x0.5 (4.0 -> 2.0)
2026-04-26T13:45:45	tune	2e8209b	att_y	P_att_y=6.0	1.6071	0.464	0.448	56.45	56.88	0.07	-0.64				att_y: P x1.5 (4 -> 6)
2026-04-26T13:46:02	tune	fe7cf20	att_y	P_att_y=9.0	1.5818	0.456	0.456	56.04	56.07	0.09	-0.10				att_y: P x1.5 (6 -> 9)
2026-04-26T13:46:12	tune	dd572d2	att_y	P_att_y=14.0	1.5893	0.448	0.464	56.46	56.70	-0.05	-0.02				att_y: P x1.55 (9 -> 14)
2026-04-26T13:46:22	tune	dd572d2	att_y	P_att_y=11.0	1.5873	0.448	0.464	56.31	56.34	-0.08	0.11				att_y: P x1.22 (9 -> 11)
2026-04-26T13:46:37	tune	dd572d2	att_y	D_att_y=0.45	1.6134	0.464	0.448	56.02	57.04	0.23	0.84				att_y: D x1.5 (0.3 -> 0.45)
2026-04-26T13:46:48	tune	dd572d2	att_y	D_att_y=0.2	1.5818	0.432	0.464	56.29	56.57	-0.03	0.18				att_y: D x0.67 (0.3 -> 0.2)
2026-04-26T13:47:05	tune	dd572d2	att_y	P_att_y=10.0,D_att_y=0.25	1.5966	0.456	0.456	56.09	56.47	-0.24	-0.36				att_y: P 9->10 D 0.3->0.25
2026-04-26T13:47:18	tune	dd572d2	vel_xy		inf	nan	nan	0.00	0.00	-12.26	13.06				vel_xy baseline P=0.5 D=0.015
2026-04-26T13:47:34	tune	dd572d2	vel_xy	P_vel_xy=1.0	1.3990	1.008	1.016	3.14	2.66	-6.49	6.67				vel_xy: P x2 (0.5 -> 1.0)
2026-04-26T13:47:46	tune	7660d70	vel_xy	P_vel_xy=1.5	1.4367	1.008	1.016	10.12	11.05	-4.61	3.91				vel_xy: P x1.5 (1.0 -> 1.5)
2026-04-26T13:48:01	tune	7660d70	vel_xy	D_vel_xy=0.025	1.3644	1.016	1.032	1.04	0.00	-6.48	6.72				vel_xy: D x1.67 (0.015 -> 0.025)
2026-04-26T13:48:26	tune	44288f1	vel_xy	D_vel_xy=0.04	1.3500	1.016	1.040	0.00	0.00	-6.55	6.33				vel_xy: D x1.6 (0.025 -> 0.04)
2026-04-26T13:48:36	tune	b325d63	vel_xy	D_vel_xy=0.06	inf	nan	1.112	0.00	0.00	-6.56	6.79				vel_xy: D x1.5 (0.04 -> 0.06)
2026-04-26T13:48:49	tune	b325d63	vel_xy	D_vel_xy=0.05	1.3773	1.048	1.040	0.00	0.00	-6.77	6.56				vel_xy: D x1.25 (0.04 -> 0.05)
2026-04-26T13:49:05	tune	b325d63	vel_xy	I_vel_xy=0.1	inf	nan	nan	0.00	0.00	-100.00	27.53				vel_xy: I 0 -> 0.1 (ss-err > 5%)
2026-04-26T13:49:15	tune	b325d63	vel_xy	I_vel_xy=0.02	1.3093	1.032	1.032	0.00	0.00	-6.31	4.78				vel_xy: I 0 -> 0.02
2026-04-26T13:49:25	tune	86ad430	vel_xy	I_vel_xy=0.04	1.2686	1.040	1.024	0.00	2.03	-5.21	3.44				vel_xy: I x2 (0.02 -> 0.04)
2026-04-26T13:49:35	tune	9e7d20b	vel_xy	I_vel_xy=0.06	inf	nan	nan	0.00	0.00	-100.01	100.00				vel_xy: I x1.5 (0.04 -> 0.06)
2026-04-26T13:49:44	tune	9e7d20b	vel_xy	I_vel_xy=0.05	inf	nan	nan	0.00	0.00	-100.00	127.63				vel_xy: I x1.25 (0.04 -> 0.05)
2026-04-26T13:49:54	tune	9e7d20b	vel_xy	P_vel_xy=1.2	inf	nan	nan	0.00	0.00	-99.82	100.00				vel_xy: P 1.0 -> 1.2 (with I=0.04 helping)
2026-04-26T13:50:04	tune	9e7d20b	vel_xy	P_vel_xy=1.1	1.2812	1.016	1.032	1.77	3.53	-5.02	3.15				vel_xy: P 1.0 -> 1.1
2026-04-26T13:50:13	tune	9e7d20b	vel_xy	D_vel_xy=0.045	1.2653	1.040	1.032	0.00	1.18	-5.51	3.19				vel_xy: D 0.04 -> 0.045
2026-04-26T13:50:23	tune	62fc033	vel_xy	D_vel_xy=0.05	inf	nan	nan	0.00	0.00	-100.00	100.00				vel_xy: D x1.11 (0.045 -> 0.05) revisit
2026-04-26T13:50:39	tune	62fc033	vel_xy	I_vel_xy=0.045	inf	nan	nan	0.00	0.00	-100.00	100.00				vel_xy: I 0.04 -> 0.045
2026-04-26T13:50:51	tune	62fc033	vel_z		inf	nan	1.272	0.00	0.00	-9.24	1.99				vel_z baseline P=7 D=2
2026-04-26T13:51:02	tune	62fc033	vel_z	P_vel_z=10.0	1.2598	1.152	0.880	0.00	5.58	-6.79	0.73				vel_z: P x1.43 (7 -> 10)
2026-04-26T13:51:12	tune	1ddcae8	vel_z	P_vel_z=14.0	inf	nan	nan	3900.88	0.00	3900.88	10873.24				vel_z: P x1.4 (10 -> 14)
2026-04-26T13:51:22	tune	1ddcae8	vel_z	P_vel_z=12.0	0.9392	0.824	0.728	0.00	4.84	-4.35	0.24				vel_z: P 10 -> 12
2026-04-26T13:51:41	tune	83cefe4	vel_z	P_vel_z=13.0	0.8813	0.712	0.736	0.00	4.76	-3.67	0.72				vel_z: P 12 -> 13
2026-04-26T13:51:53	tune	9cab7c0	vel_z	P_vel_z=13.5	1.0760	0.664	0.848	6.52	3.23	-7.92	0.98				vel_z: P 13 -> 13.5
2026-04-26T13:52:04	tune	9cab7c0	vel_z	D_vel_z=2.5	1.1017	0.808	0.952	0.00	5.84	-5.79	-0.74				vel_z: D x1.25 (2 -> 2.5)
2026-04-26T13:52:14	tune	9cab7c0	vel_z	D_vel_z=1.5	1.0791	0.640	0.664	14.89	11.99	-6.02	0.31				vel_z: D x0.75 (2 -> 1.5)
2026-04-26T13:52:24	tune	9cab7c0	vel_z	I_vel_z=0.5	inf	0.632	nan	16.11	0.00	7.26	7.74				vel_z: I 0 -> 0.5
